,group,kval,rhoval,proportion_per_capita,proportion_gross,method,baseline_1,baseline_2
0,experts,17,1,0.04414720375066511,0.6180608525093115,Real influence,0.007518796992481203,0.5693441926892345
0,amateurs,17,1,0.0031828262290890708,0.38193914749068847,Real influence,0.007518796992481203,0.4306558073107654
0,experts,17,1.25,0.00873687300673493,0.12231622209428902,Potential influence,0.007518796992481203,
0,amateurs,17,1.25,0.007314031482547592,0.877683777905711,Potential influence,0.007518796992481203,
0,experts,17,1.25,0.04394470213179241,0.6152258298450938,Real influence,0.007518796992481203,0.5693441926892345
0,amateurs,17,1.25,0.003206451417957552,0.3847741701549063,Real influence,0.007518796992481203,0.4306558073107654
0,experts,17,1.5,0.00848126796794381,0.11873775155121336,Potential influence,0.007518796992481203,
0,amateurs,17,1.5,0.007343852070406555,0.8812622484487866,Potential influence,0.007518796992481203,
0,experts,17,1.5,0.043623440570018095,0.6107281679802533,Real influence,0.007518796992481203,0.5693441926892345
0,amateurs,17,1.5,0.0032439319334978895,0.38927183201974674,Real influence,0.007518796992481203,0.4306558073107654
0,experts,19,0,0.010833637061573842,0.1516709188620338,Potential influence,0.007518796992481203,
0,amateurs,19,0,0.007069409009483049,0.8483290811379659,Potential influence,0.007518796992481203,
0,experts,19,0,0.04204630052514156,0.5886482073519818,Real influence,0.007518796992481203,0.5693441926892345
0,amateurs,19,0,0.003427931605400151,0.41135179264801813,Real influence,0.007518796992481203,0.4306558073107654
0,experts,19,0.25,0.010469640600013872,0.1465749684001942,Potential influence,0.007518796992481203,
0,amateurs,19,0.25,0.007111875263331716,0.8534250315998059,Potential influence,0.007518796992481203,
0,experts,19,0.25,0.043634328108884554,0.6108805935243837,Real influence,0.007518796992481203,0.5693441926892345
0,amateurs,19,0.25,0.003242661720630135,0.3891194064756162,Real influence,0.007518796992481203,0.4306558073107654
0,experts,19,0.5,0.010151914847779397,0.14212680786891155,Potential influence,0.007518796992481203,
0,amateurs,19,0.5,0.00714894326775907,0.8578731921310884,Potential influence,0.007518796992481203,
0,experts,19,0.5,0.04380890724463486,0.613324701424888,Real influence,0.007518796992481203,0.5693441926892345
0,amateurs,19,0.5,0.003222294154792599,0.3866752985751119,Real influence,0.007518796992481203,0.4306558073107654
0,experts,19,0.75,0.009847139078773066,0.13785994710282293,Potential influence,0.007518796992481203,
0,amateurs,19,0.75,0.00718450044080981,0.8621400528971771,Potential influence,0.007518796992481203,
0,experts,19,0.75,0.043880843819892476,0.6143318134784946,Real influence,0.007518796992481203,0.5693441926892345
0,amateurs,19,0.75,0.0032139015543458794,0.38566818652150553,Real influence,0.007518796992481203,0.4306558073107654
0,experts,19,1,0.009553264998522765,0.1337457099793187,Potential influence,0.007518796992481203,
0,amateurs,19,1,0.007218785750172345,0.8662542900206814,Potential influence,0.007518796992481203,
0,experts,19,1,0.043837596469671135,0.6137263505753959,Real influence,0.007518796992481203,0.5693441926892345
0,amateurs,19,1,0.003218947078538366,0.38627364942460396,Real influence,0.007518796992481203,0.4306558073107654
0,experts,19,1.25,0.009269143862216596,0.12976801407103233,Potential influence,0.007518796992481203,
0,amateurs,19,1.25,0.007251933216074731,0.8702319859289678,Potential influence,0.007518796992481203,
0,experts,19,1.25,0.04367262351913429,0.61141672926788,Real influence,0.007518796992481203,0.5693441926892345
0,amateurs,19,1.25,0.003238193922767664,0.3885832707321197,Real influence,0.007518796992481203,0.4306558073107654
0,experts,19,1.5,0.008994263059066445,0.12591968282693022,Potential influence,0.007518796992481203,
0,amateurs,19,1.5,0.007284002643108917,0.8740803171730701,Potential influence,0.007518796992481203,
0,experts,19,1.5,0.04338525428693455,0.6073935600170837,Real influence,0.007518796992481203,0.5693441926892345
0,amateurs,19,1.5,0.003271720333190968,0.39260643998291617,Real influence,0.007518796992481203,0.4306558073107654
0,experts,23,0,0.011593116114192751,0.16230362559869851,Potential influence,0.007518796992481203,
0,amateurs,23,0,0.006980803120010846,0.8376963744013015,Potential influence,0.007518796992481203,
