,group,kval,rhoval,Hi,method,baseline_1,baseline_2,IHi
0,amateurs,7,0.75,0.3190082891058845,Real homophily,0.8947368421052632,0.42859472897987466,-5.518063518557964
0,experts,7,0.75,0.394352053740773,Potential homophily,0.09774436090225563,,
0,amateurs,7,0.75,0.9527237134454096,Potential homophily,0.8947368421052632,,0.5474984001203491
0,experts,7,1,0.8329266960745831,Real homophily,0.09774436090225563,0.5509913756327132,
0,amateurs,7,1,0.33107346371862495,Real homophily,0.8947368421052632,0.42859472897987466,-5.4025825615503065
0,experts,7,1,0.39180381813550585,Potential homophily,0.09774436090225563,,
0,amateurs,7,1,0.9540550482232213,Potential homophily,0.8947368421052632,,0.5602411758508322
0,experts,7,1.25,0.8346714674636633,Real homophily,0.09774436090225563,0.5509913756327132,
0,amateurs,7,1.25,0.3441750637808814,Real homophily,0.8947368421052632,0.42859472897987466,-5.277181532382993
0,experts,7,1.25,0.38958765972069664,Potential homophily,0.09774436090225563,,
0,amateurs,7,1.25,0.9552390120400192,Potential homophily,0.8947368421052632,,0.571573400954469
0,experts,7,1.5,0.8361412731340641,Real homophily,0.09774436090225563,0.5509913756327132,
0,amateurs,7,1.5,0.358275769173322,Real homophily,0.8947368421052632,0.42859472897987466,-5.142217637912492
0,experts,7,1.5,0.3876249733231725,Potential homophily,0.09774436090225563,,
0,amateurs,7,1.5,0.956295935845921,Potential homophily,0.8947368421052632,,0.5816896716681007
0,experts,9,0,0.7430751341423786,Real homophily,0.09774436090225563,0.5509913756327132,
0,amateurs,9,0,0.31353312096998803,Real homophily,0.8947368421052632,0.42859472897987466,-5.57046869928726
0,experts,9,0,0.4027073711300969,Potential homophily,0.09774436090225563,,
0,amateurs,9,0,0.9347212782773614,Potential homophily,0.8947368421052632,,0.3751893777976018
0,experts,9,0.25,0.7540737710770592,Real homophily,0.09774436090225563,0.5509913756327132,
0,amateurs,9,0.25,0.3185507659513791,Real homophily,0.8947368421052632,0.42859472897987466,-5.522442668751088
0,experts,9,0.25,0.3987523548175825,Potential homophily,0.09774436090225563,,
0,amateurs,9,0.25,0.9374952254114016,Potential homophily,0.8947368421052632,,0.4017400146519868
0,experts,9,0.5,0.7622455716837643,Real homophily,0.09774436090225563,0.5509913756327132,
0,amateurs,9,0.5,0.32567262438133604,Real homophily,0.8947368421052632,0.42859472897987466,-5.454276309492928
0,experts,9,0.5,0.39583138261450784,Potential homophily,0.09774436090225563,,
0,amateurs,9,0.5,0.9397675771862631,Potential homophily,0.8947368421052632,,0.4234896673542327
0,experts,9,0.75,0.7693373378553676,Real homophily,0.09774436090225563,0.5509913756327132,
0,amateurs,9,0.75,0.33379892079545814,Real homophily,0.8947368421052632,0.42859472897987466,-5.376496043814902
0,experts,9,0.75,0.39348642012762597,Potential homophily,0.09774436090225563,,
0,amateurs,9,0.75,0.9417869658314738,Potential homophily,0.8947368421052632,,0.4428181015298206
0,experts,9,1,0.7755663148857349,Real homophily,0.09774436090225563,0.5509913756327132,
